B0,B1,B2,B3,Label
-84,-78,-79,-72,11
-76,-63,-77,-72,4
-69,-74,-87,-74,1
-80,-81,-77,-70,15
-85,-85,-61,-63,12
-76,-77,-87,-75,1
-67,-78,-88,-70,2
-75,-76,-74,-54,7
-72,-47,-68,-82,4
-81,-65,-78,-80,4
-93,-73,-76,-86,12
-56,-73,-79,-73,5
-72,-76,-78,-75,5
-72,-66,-81,-69,15
-81,-83,-69,-61,9
-87,-82,-76,-76,12
-70,-79,-84,-61,9
-54,-66,-68,-62,9
-70,-86,-85,-53,13
-66,-65,-68,-72,4
-78,-75,-96,-70,7
-80,-64,-45,-68,16
-53,-76,-76,-69,2
-72,-81,-80,-71,2
-67,-78,-76,-61,2
-71,-86,-91,-81,5
-75,-70,-82,-80,3
-75,-63,-80,-74,4
-74,-66,-88,-58,8
-65,-79,-79,-61,10
-74,-75,-79,-85,5
-72,-81,-74,-58,13
-60,-65,-65,-38,13
-75,-68,-90,-73,3
-78,-62,-87,-74,7
-73,-65,-85,-60,4
-79,-72,-75,-61,14
-88,-75,-62,-69,15
-75,-68,-79,-86,3
-83,-81,-40,-70,16
-87,-75,-55,-77,16
-80,-68,-92,-72,3
-83,-80,-69,-81,12
-74,-75,-71,-56,13
-62,-80,-81,-54,13
-70,-80,-80,-61,10
-72,-89,-77,-69,2
-83,-84,-75,-87,12
-71,-85,-74,-61,9
-63,-77,-77,-72,2
-76,-65,-77,-75,4
-75,-75,-80,-75,6
-63,-76,-84,-58,14
-77,-62,-77,-52,7
-85,-80,-81,-68,15
-75,-80,-75,-67,11
-83,-70,-54,-71,16
-79,-74,-75,-64,14
-80,-85,-74,-92,12
-75,-47,-77,-82,4
-71,-78,-65,-63,10
-81,-65,-74,-76,4
-70,-84,-59,-75,12
-74,-73,-87,-62,3
-59,-78,-77,-71,2
-66,-81,-80,-73,2
-74,-71,-76,-79,5
-86,-59,-54,-55,16
-81,-67,-87,-69,7
-83,-76,-77,-70,11
-56,-75,-83,-70,1
-86,-77,-75,-68,11
-75,-79,-82,-73,11
-76,-76,-60,-59,14
-63,-73,-67,-75,6
-63,-75,-69,-68,2
-72,-68,-81,-55,13
-68,-81,-81,-61,10
-77,-78,-76,-67,11
-73,-80,-83,-69,6
-77,-73,-87,-68,7
-77,-76,-87,-70,7
-89,-72,-76,-86,12
-77,-75,-90,-74,7
-75,-69,-83,-67,11
-89,-61,-61,-88,12
-84,-82,-42,-71,16
-78,-64,-75,-59,4
-88,-79,-80,-50,10
-76,-75,-87,-67,7
-85,-72,-77,-81,12
-74,-61,-80,-67,6
-75,-51,-71,-72,8
-81,-80,-81,-48,15
-75,-67,-84,-69,7
-75,-62,-93,-88,3
-70,-85,-85,-58,9
-69,-66,-72,-76,8
-55,-95,-78,-72,1
-72,-75,-79,-64,6
-68,-87,-79,-65,10
-70,-81,-75,-59,9
-70,-68,-79,-56,13
-78,-76,-76,-60,14
-74,-66,-72,-71,8
-80,-72,-90,-72,3
-79,-65,-81,-54,15
-82,-78,-77,-64,15
-79,-71,-70,-64,15
-68,-79,-61,-72,2
-75,-82,-77,-69,11
-72,-91,-82,-72,1
-71,-63,-79,-73,4
-73,-63,-80,-73,4
-68,-85,-74,-43,9
-71,-77,-82,-46,13
-76,-87,-60,-68,11
-75,-66,-72,-75,8
-73,-76,-80,-52,13
-71,-78,-83,-59,1
-76,-78,-88,-74,7
-71,-83,-77,-59,9
-70,-84,-78,-61,10
-80,-70,-76,-75,12
-64,-75,-87,-68,7
-81,-62,-83,-73,14
-80,-82,-56,-67,16
-66,-81,-55,-59,16
-83,-72,-94,-73,3
-68,-81,-76,-72,2
-72,-75,-76,-66,2
-70,-65,-71,-73,8
-75,-67,-88,-68,3
