B0,B1,B2,Label
-67,-76,-64,16
-67,-74,-81,2
-44,-62,-77,9
-55,-65,-77,4
-76,-81,-84,10
-57,-70,-80,3
-82,-71,-76,12
-80,-86,-72,12
-51,-80,-84,5
-81,-69,-67,14
-68,-56,-82,3
-60,-82,-79,13
-65,-76,-75,11
-40,-76,-62,9
-62,-84,-71,14
-67,-73,-57,16
-68,-81,-77,11
-58,-57,-83,3
-86,-81,-75,12
-85,-81,-58,12
-72,-82,-62,16
-59,-65,-93,8
-70,-72,-89,7
-65,-78,-76,2
-69,-66,-81,4
-63,-80,-63,2
-58,-78,-79,5
-66,-75,-75,11
