B1_RSSI,B2_RSSI,B3_RSSI,Class
-48,-75,-83,6
-52,-75,-79,6
-49,-75,-82,6
-68,-75,-69,6
-66,-74,-80,6
-64,-73,-79,6
-65,-74,-68,6
-65,-75,-69,6
-49,-58,-80,6
-65,-72,-80,6
-67,-60,-80,6
-66,-74,-80,6
-53,-76,-80,6
-52,-57,-82,6
-63,-72,-81,6
-67,-72,-85,6
-67,-71,-80,6
-68,-59,-80,6
-68,-75,-82,6
-67,-75,-79,6
-52,-72,-80,6
-53,-74,-85,6
-53,-59,-81,6
-66,-75,-81,6
-69,-74,-82,6
-65,-74,-85,6
-67,-75,-81,6
-52,-74,-65,6
-67,-74,-83,6
-68,-77,-83,6
-68,-60,-80,6
-52,-75,-80,6
-52,-74,-83,6
-65,-75,-69,6
-68,-58,-68,6
-68,-67,-82,6
-64,-75,-82,6
-67,-71,-80,6
-67,-71,-82,6
-67,-59,-71,6
-66,-59,-69,6
-68,-71,-81,6
-68,-75,-81,6
-66,-74,-65,6
-67,-74,-69,6
-66,-75,-69,6
-67,-72,-81,6
-68,-57,-81,6
-49,-74,-81,6
-67,-74,-83,6
-67,-79,-70,6
-66,-79,-80,6
-67,-74,-81,6
-66,-75,-70,6
-65,-58,-81,6
-68,-72,-81,6
-53,-74,-80,6
-75,-56,-87,7
-71,-56,-71,7
-71,-72,-83,7
-71,-58,-83,7
-72,-71,-83,7
-72,-72,-83,7
-71,-70,-82,7
-74,-84,-82,7
-73,-87,-82,7
-71,-71,-68,7
-71,-72,-92,7
-73,-74,-67,7
-71,-82,-76,7
-71,-81,-87,7
-75,-80,-88,7
-73,-72,-70,7
-72,-70,-85,7
-72,-72,-68,7
-72,-72,-67,7
-71,-80,-85,7
-69,-79,-76,7
-54,-55,-91,7
-71,-73,-91,7
-70,-73,-80,7
-71,-73,-85,7
-71,-79,-70,7
-73,-71,-70,7
-55,-72,-70,7
-71,-80,-70,7
-71,-66,-70,7
-60,-57,-82,7
-70,-81,-84,7
-56,-57,-83,7
-70,-57,-87,7
-71,-71,-68,7
-71,-81,-83,7
-72,-71,-72,7
-72,-80,-72,7
-55,-72,-84,7
-72,-72,-82,7
-60,-57,-89,7
-71,-71,-89,7
-71,-70,-87,7
-71,-71,-88,7
-70,-71,-83,7
-71,-72,-73,7
-71,-66,-82,7
-70,-72,-84,7
-54,-72,-85,7
-73,-79,-83,7
-70,-62,-81,7
-69,-73,-69,7
-55,-73,-88,7
-69,-73,-83,7
-73,-74,-83,7
-70,-69,-85,7
-70,-55,-85,7
-70,-74,-74,7
-73,-73,-88,7
-72,-83,-85,7
