B0,B1,B2,B3,Label
-86,-74,-77,-56,13
-77,-75,-80,-56,13
-56,-65,-80,-58,9
-64,-84,-78,-73,5
-71,-86,-76,-57,5
-77,-65,-75,-66,12
-72,-79,-76,-41,13
-72,-74,-89,-72,5
-73,-78,-76,-55,13
-74,-86,-63,-73,5
-93,-72,-75,-78,12
-67,-72,-74,-58,9
-71,-86,-85,-57,5
-70,-77,-83,-71,1
-75,-65,-76,-70,8
-85,-79,-71,-69,8
-56,-87,-87,-59,9
-72,-64,-65,-72,4
-87,-81,-76,-72,12
-88,-81,-46,-76,16
-76,-72,-76,-90,12
-87,-80,-40,-57,16
-80,-79,-91,-72,1
-74,-71,-76,-79,5
-70,-75,-83,-73,1
-88,-73,-93,-74,5
-89,-81,-74,-77,12
-87,-84,-81,-51,13
-74,-65,-72,-57,8
-70,-79,-86,-57,9
-93,-82,-54,-68,16
-72,-77,-85,-54,13
-87,-89,-76,-76,12
-76,-66,-71,-70,8
-81,-80,-54,-61,16
-58,-75,-92,-69,5
-71,-81,-54,-77,16
-73,-90,-78,-70,5
-70,-82,-88,-61,9
-88,-75,-77,-54,13
-67,-74,-82,-69,1
-72,-73,-94,-73,1
-72,-86,-78,-80,5
-73,-51,-91,-72,8
-67,-88,-85,-58,9
-76,-83,-77,-49,9
-74,-81,-77,-55,13
-71,-79,-71,-54,13
-84,-65,-76,-87,4
-83,-71,-60,-66,12
-71,-73,-79,-83,5
-74,-66,-72,-59,8
-70,-65,-71,-73,8
-70,-84,-75,-82,12
-71,-86,-73,-57,9
-88,-83,-77,-47,13
-67,-85,-75,-59,9
-80,-59,-55,-80,16
-70,-71,-84,-61,9
-93,-72,-75,-88,12
-56,-75,-83,-70,1
-85,-78,-96,-82,1
-56,-63,-79,-76,4
